epoch,train_loss,val_loss,time_s
1,0.00314333686264088,0.0009674398819401466,21.24208688735962
2,0.0006896519236740552,0.0007582327492191541,19.35142230987549
3,0.0005725277818723367,0.0009052796875824182,20.968143701553345
4,0.0005022779275348997,0.0007672364117307864,247.69861268997192
5,0.0004343299259884837,0.0007058891281866888,20.228416204452515
6,0.00041294867284842173,0.000575909580726435,19.916402339935303
7,0.0003828336713371503,0.0006743596202773522,19.95108962059021
8,0.00036331864982851755,0.0006382281873935296,20.05628728866577
9,0.00035135547315144774,0.0005485915247987817,20.126036882400513
10,0.00033584375339335037,0.0005818070151762738,20.482874631881714
11,0.00032502126918344235,0.0005312915527581737,20.15273928642273
12,0.00032572539762502624,0.0005833444777930651,20.081008195877075
13,0.00030486820264659495,0.0005692086263145546,20.05685782432556
14,0.00030763572127346994,0.0005434352384229047,19.886011600494385
15,0.00029861486833393194,0.0005362141515586037,20.26340889930725
16,0.0002933047532112569,0.0005096349647370675,20.017725229263306
17,0.00028388114769066226,0.0005334837079360223,19.894881010055542
18,0.0002845938589374942,0.0005733146903294245,19.810900449752808
19,0.0002741513599088053,0.0005157397475965288,19.949220657348633
20,0.0002745522474149284,0.0005801409782675767,19.69762349128723
21,0.00026814666221068085,0.0005638751597103076,20.059418201446533
22,0.00026873059691306976,0.0005352352327148441,19.495346069335938
23,0.00024104806864634458,0.0005246163226629309,19.759352207183838
24,0.0002370357664014501,0.0005542905609252061,20.059816122055054
25,0.0002371537652226486,0.0005153365679080754,20.589374780654907
26,0.00023681176345114455,0.0005305931865570099,19.486172199249268
27,0.00023517111999906228,0.0006407693702092922,20.094738721847534
28,0.00023819371656184256,0.0005441810001162438,19.653555631637573
29,0.00022325499124687504,0.0005673262301783927,19.68637752532959
30,0.0002211429952893554,0.0005578258692169759,19.801595449447632
31,0.0002201206585033375,0.0005343925309093545,19.955191373825073
32,0.00022039267255243518,0.0005695824619184578,20.2028751373291
33,0.00021935220800591612,0.0005672014011497723,20.08766531944275
34,0.0002166901486384878,0.0005245096282158304,20.074683666229248
35,0.0002121678391400664,0.0005883614707280313,19.590227365493774
36,0.000211099237932571,0.0005637011603911238,19.595564603805542
37,0.00020925849652933193,0.0005879045449501607,19.870479583740234
38,0.00020878869122636153,0.000569098976678028,19.97880530357361
39,0.0002094498660321818,0.0006075215592095447,19.824950456619263
40,0.00020781014853031617,0.0005736946098489947,21.004700422286987
41,0.00020369971119332296,0.000592311960895073,20.755438804626465
42,0.0002027155908569656,0.0005555333156151911,20.563929319381714
43,0.00020308749476729258,0.0005642694888180373,20.63180422782898
44,0.00020305655821723582,0.0005557335716295787,20.89850902557373
45,0.00020282609010630062,0.0005521992173370692,20.538654327392578
46,0.0002020863515290873,0.0005516371645852533,20.350772619247437
47,0.00019978420001461912,0.000585378934984962,19.70782732963562
48,0.00019987535373695706,0.0005928281244898987,20.192373752593994
49,0.00019996935546685353,0.0005914777867580531,20.024150848388672
50,0.00019940176731662567,0.00056326109700301,19.960694313049316
